id,наименование,ссылка,"регулярная цена, руб.","промо цена, руб.",бренд
135191,"Сыр плавленый Viola лисички 50%, 200г",https://online.metro-cc.ru/products/plavlennyj-viola-lisichki-50-200g-bzmzh,185,119,VIOLA
483601,"Сыр Galbani Буррата mini мягкий 50%, 125г",https://online.metro-cc.ru/products/burrata-galbani-mini-125g-bzmzh,349,нет скидки,GALBANI
204110,"Сыр Viola голландский кусок 45%, 350г",https://online.metro-cc.ru/products/350g-syr-45-viola-gollandskiy-kusok-bzmzh,399,нет скидки,VIOLA
134956,"Сыр плавленый Hochland с грибами 45%, 150г",https://online.metro-cc.ru/products/plavlenyj-hochland-s-gribami-45-150g-bzmzh,127,94,HOCHLAND
319689,"Сыр Тамбовский Сулугуни 45%, ~600г",https://online.metro-cc.ru/products/suluguni-tambovskij-45-600g-bzmzh,1 199,нет скидки,ТАМБОВСКИЙ
624016,"Сыр President Snack a la Francaise мягкий с белой плесенью 60%, 170г",https://online.metro-cc.ru/products/art_624016,509,нет скидки,PRESIDENT
106972,"Сыр Карат шоколадно-ореховый десертный плавленый 30%, 230г",https://online.metro-cc.ru/products/karat-shokoladno-orehovyj-desertnyj-30-230-g,144,нет скидки,КАРАТ
610975,"Сыр Предгорье Кавказа Чечил коса копченый, 180г",https://online.metro-cc.ru/products/chechil-predgorye-kavkaza-kosa-kopchenyj-180g-bzmzh,282,нет скидки,ПРЕДГОРЬЕ КАВКАЗА
90854,"Сыр Кабош Маасдам полутвердый 45%, 125г",https://online.metro-cc.ru/products/maasdam-kabosh-45-125g-bzmzh,182,нет скидки,КАБОШ
122606,"Сыр Cheese Gallery Эмменталер кусок 45%, 180г",https://online.metro-cc.ru/products/180g-45-sneese-gallery-emment-kus-bzmzh,279,нет скидки,CHEESE GALLERY
621692,"METRO Chef Сыр Маасдам 45%, ~2.5кг",https://online.metro-cc.ru/products/maasdam-45-metro-chef-vesovoj,878,нет скидки,METRO CHEF
621731,"METRO Chef Сыр Гауда 48%, ~2.5кг",https://online.metro-cc.ru/products/gauda-48-metro-chef-vesovoj,823,нет скидки,METRO CHEF
218902,"Сыр Sveza творожный воздушный сливочный 60%, 150г",https://online.metro-cc.ru/products/150g-syr-tvorozhnyy-60-sveza-vozdushnyy-slivoch-bzmzh,124,нет скидки,SVEZA
